TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.isf.patvac.model.PatientVaccine,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.927715964590965,487,475
org.isf.patvac.manager.PatVacManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.604447408536585,180,118
